2020.06.30 06:24:32 INFO  es[][o.e.c.m.MetaDataMappingService] [issues/z4pf5o6lR3G7P-qV9-Sgkg] create_mapping [authorization]
2020.06.30 06:24:32 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [users] creating index, cause [api], templates [], shards [1]/[0], mappings []
2020.06.30 06:24:32 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[users][0]] ...]).
2020.06.30 06:24:32 INFO  es[][o.e.c.m.MetaDataMappingService] [users/eg7BjqLvTiCCw-b_c6o_qw] create_mapping [user]
2020.06.30 06:24:32 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [views] creating index, cause [api], templates [], shards [5]/[0], mappings []
2020.06.30 06:24:32 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[views][4]] ...]).
2020.06.30 06:24:32 INFO  es[][o.e.c.m.MetaDataMappingService] [views/bIkTIKz5Q5ucYpMf_1lRfQ] create_mapping [view]
2020.06.30 06:24:42 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2020.06.30 06:24:42 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2020.06.30 06:24:42 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
2020.06.30 06:24:42 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
2020.06.30 06:24:42 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2020.06.30 06:24:42 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2020.06.30 06:24:42 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
2020.06.30 06:24:42 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
2020.06.30 06:26:05 INFO  es[][o.e.n.Node] stopping ...
2020.06.30 06:26:05 INFO  es[][o.e.n.Node] stopped
2020.06.30 06:26:05 INFO  es[][o.e.n.Node] closing ...
2020.06.30 06:26:05 INFO  es[][o.e.n.Node] closed
2020.06.30 06:29:26 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (/dev/mapper/vg_data-lvol0)]], net usable_space [285.8gb], net total_space [299.8gb], types [xfs]
2020.06.30 06:29:26 INFO  es[][o.e.e.NodeEnvironment] heap size [494.9mb], compressed ordinary object pointers [true]
2020.06.30 06:29:26 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [4faSyD4QQhSNyQV8PSdzIw]
2020.06.30 06:29:26 INFO  es[][o.e.n.Node] version[6.8.0], pid[30], build[default/tar/65b6179/2019-05-15T20:06:13.172855Z], OS[Linux/3.10.0-957.5.1.el7.x86_64/amd64], JVM[Oracle Corporation/OpenJDK 64-Bit Server VM/11.0.7/11.0.7+10]
2020.06.30 06:29:26 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Djava.io.tmpdir=/opt/sonarqube/temp, -XX:ErrorFile=../logs/es_hs_err_pid%p.log, -Des.enforce.bootstrap.checks=true, -Xms512m, -Xmx512m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/opt/sonarqube/elasticsearch, -Des.path.conf=/opt/sonarqube/temp/conf/es, -Des.distribution.flavor=default, -Des.distribution.type=tar]
2020.06.30 06:29:27 INFO  es[][o.e.p.PluginsService] loaded module [analysis-common]
2020.06.30 06:29:27 INFO  es[][o.e.p.PluginsService] loaded module [lang-painless]
2020.06.30 06:29:27 INFO  es[][o.e.p.PluginsService] loaded module [mapper-extras]
2020.06.30 06:29:27 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2020.06.30 06:29:27 INFO  es[][o.e.p.PluginsService] loaded module [percolator]
